tienda,tipo,modelo,medida,medida_origen,almohadas,cuotas_si,cuotas_simple,precio,pack,sku_match,titulo_orig,url,fecha
TMS,sommier,Exclusive Pillow,80x190,explicita,0,18,0,717696,1,SEXP80,Sommier Y Colchón Cannon Exclusive Pillow 80x190 Premium Color Chocolate,https://www.mercadolibre.com.ar/sommier-y-colchon-cannon-exclusive-pillow-80x190-premium-color-chocolate/p/MLA54651764?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=33&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1540899533&sid=search,2026-04-27 09:31
TMS,sommier,Exclusive,140x190,explicita,2,9,0,765280,1,SEX140,Conjunto Cannon Exclusive Espuma 140x190 + 2 Alm Vellone,https://www.mercadolibre.com.ar/conjunto-cannon-exclusive-espuma-140x190--2-alm-vellone/up/MLAU2933532259?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=34&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1470358779&sid=search,2026-04-27 09:31
TMS,sommier,Exclusive Pillow,140x190,explicita,2,9,0,802489,1,SEXP140,Conjunto Sommier Exclusive Pillow 140x190 +2 Alm Vellone,https://www.mercadolibre.com.ar/conjunto-sommier-exclusive-pillow-140x190-2-alm-vellone/up/MLAU2934396341?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=35&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1991259876&sid=search,2026-04-27 09:31
TMS,sommier,Renovation,140x190,explicita,2,9,0,839698,1,SRE140,Sommier Cannon Espuma Renovation 140x190 + 2 Almohadas Tms,https://www.mercadolibre.com.ar/sommier-cannon-espuma-renovation-140x190--2-almohadas-tms/up/MLAU2981588330?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=36&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA2001610824&sid=search,2026-04-27 09:31
TMS,sommier,Exclusive,140x190,explicita,1,,0,617006,1,SEX140,Sommier Y Colchón Cannon Exclusive Espuma 140x190 + Almohada,https://www.mercadolibre.com.ar/sommier-y-colchon-cannon-exclusive-espuma-140x190--almohada/up/MLAU2933528043?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=37&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1990995984&sid=search,2026-04-27 09:31
TMS,sommier,Doral Pillow,140x190,explicita,2,,0,787006,1,SDOP140,Conjunto Sommier Cannon Doral Pillow 140x190 + 2 Alm Vellone,https://www.mercadolibre.com.ar/conjunto-sommier-cannon-doral-pillow-140x190--2-alm-vellone/up/MLAU2981699232?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=38&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA2001840746&sid=search,2026-04-27 09:31
TMS,sommier,Renovation Europillow,160x200,explicita,0,18,0,1581832,1,SREP160,Conjunto Sommier+colchón Cannon Renovation Pillow 160x200cm,https://www.mercadolibre.com.ar/conjunto-sommiercolchon-cannon-renovation-pillow-160x200cm/up/MLAU584399302?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=39&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA2074760248&sid=search,2026-04-27 09:31
TMS,sommier,Exclusive,100x190,explicita,0,9,0,574264,1,SEX100,Conjunto Sommier+ Colchon Cannon Exclusive 100x190cm Premium,https://www.mercadolibre.com.ar/conjunto-sommier-colchon-cannon-exclusive-100x190cm-premium/up/MLAU562906844?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=40&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1444518759&sid=search,2026-04-27 09:31
TMS,sommier,Renovation,140x190,explicita,0,,0,664000,1,SRE140,Juego De Sommier Cannon Espuma Renovation 140x190-2 Plazas,https://www.mercadolibre.com.ar/juego-de-sommier-cannon-espuma-renovation-140x1902-plazas/up/MLAU368641450?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=41&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1763316860&sid=search,2026-04-27 09:31
TMS,sommier,Doral,80x190,explicita,0,9,0,581706,1,SDO80,Cannon Resortes Doral - Negro/blanco 1 Plaza 190x80 Premium,https://www.mercadolibre.com.ar/cannon-resortes-doral--negroblanco-1-plaza-190x80-premium/up/MLAU380068764?pdp_filters=official_store%3A226384#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=42&type=product&tracking_id=b8328391-657e-49b3-b559-0ccce3d80050&wid=MLA1429473951&sid=search,2026-04-27 09:31
